piece,start,end,pentatonicism,parallel_motion,density,rhythm_reg,syncopation,melodic_intervals,register_usage,articulation,dynamics,influence
Pagodes,3,6,1,0,2,2,2,1,2,0,0,1
Pagodes,7,10,0,0,2,2,2,1,2,0,0,1
Pagodes,11,14,0,2,1,1,0,0,2,1,0,1
Pagodes,15,18,0,0,0,1,0,2,0,0,2,1
Pagodes,19,22,1,0,0,2,0,2,2,0,1,1
Pagodes,23,26,2,0,0,2,1,0,2,0,2,1
Pagodes,27,30,2,0,1,1,1,0,2,0,0,1
Pagodes,31,34,2,0,0,0,2,0,0,1,0,1
Pagodes,37,40,2,0,0,1,2,0,0,1,1,1
Pagodes,41,44,2,0,2,2,2,0,2,0,2,1
Pagodes,45,48,1,2,2,1,0,0,2,0,1,1
Pagodes,49,52,2,0,1,2,2,0,0,0,1,1
Pagodes,53,56,2,0,1,2,1,1,1,0,1,1
Pagodes,57,60,1,0,2,2,2,1,2,0,0,1
Pagodes,61,64,0,2,2,2,2,1,2,0,0,1 
Pagodes,65,68,2,0,1,1,1,0,2,1,0,1
Pagodes,69,72,0,0,1,1,0,0,0,0,2,1
Pagodes,73,76,2,0,1,1,0,0,2,0,1,1
Pagodes,77,80,1,2,2,1,0,0,2,0,1,1
Pagodes,81,84,2,0,0,1,0,2,1,0,2,1
Pagodes,85,88,1,0,0,1,0,0,2,0,0,1
Pagodes,89,92,0,0,0,2,0,2,2,0,0,1 
Pagodes,93,96,1,0,1,2,0,0,2,0,0,1
Pagodes,97,100,1,0,1,2,0,1,2,0,0,1
Cloches,1,4,1,0,1,1,0,0,1,1,1,1
Cloches,5,8,0,1,2,2,0,0,1,1,2,1
Cloches,9,12,0,0,2,2,0,0,2,0,2,1
Cloches,13,16,2,0,0,0,0,1,0,0,1,1
Cloches,17,20,0,0,1,0,0,1,1,0,1,0
Cloches,21,24,0,0,2,1,0,1,1,1,1,0
Cloches,25,28,2,0,1,2,0,0,2,1,2,1
Cloches,29,32,0,0,2,1,0,2,2,1,2,0
Cloches,33,36,0,0,2,2,0,0,2,1,2,1
Cloches,37,40,0,0,2,1,0,0,2,1,2,1
Cloches,41,44,0,0,1,2,0,1,1,0,2,0
Cloches,45,48,0,0,0,2,0,1,1,0,2,0
Quifut,1,4,0,2,2,2,1,0,0,0,2,1
Quifut,5,8,0,2,2,2,1,0,1,1,1,1
Quifut,9,12,0,2,2,2,1,0,2,1,1,1
Quifut,13,16,2,1,0,2,0,0,0,2,0,1
Quifut,17,20,0,2,2,0,1,0,1,1,0,1 
Quifut,21,24,0,0,2,0,0,0,2,1,2,1
Quifut,27,30,1,0,2,1,0,0,1,1,1,1
Quifut,31,34,0,2,2,0,0,0,0,0,2,1
Quifut,35,38,0,2,2,0,1,0,0,0,2,1
Quifut,39,42,1,0,1,2,0,1,2,1,2,1
Quifut,43,46,0,0,2,1,1,0,2,1,2,1
Quifut,47,50,1,1,2,1,2,0,0,0,1,1
Quifut,51,54,0,0,2,1,0,0,1,1,2,1
Canope,1,4,0,1,2,0,2,1,0,0,1,1
Canope,5,8,2,2,0,2,1,1,1,1,1,1
Canope,9,12,2,1,1,2,0,0,1,1,1,1
Canope,13,16,0,1,2,2,1,0,2,0,2,1
Canope,17,20,1,0,0,1,0,2,2,1,1,1
Canope,22,25,0,1,0,2,1,0,1,1,2,1
Canope,26,29,0,2,2,0,2,0,1,0,1,1
Canope,30,33,0,0,0,1,1,0,2,0,1,1
Laider,1,4,2,0,0,0,0,2,0,1,0,1
Laider,5,8,2,0,0,0,2,1,0,1,0,1
Laider,9,12,2,0,0,0,0,1,1,1,0,1
Laider,13,16,2,0,0,0,0,0,0,1,0,1
Laider,17,20,2,0,0,0,1,0,1,0,1,1
Laider,24,27,1,0,1,0,2,0,1,1,2,1
Laider,28,31,2,0,0,0,1,0,0,1,1,1
Laider,32,35,0,0,1,1,2,0,0,1,0,1
Laider,36,39,0,0,0,1,0,0,1,0,1,0
Laider,40,43,0,0,0,1,0,0,0,1,1,1
Laider,44,47,0,0,1,1,0,0,1,0,1,0
Laider,48,51,0,0,1,0,0,0,1,0,2,0
Laider,52,55,0,0,0,1,0,0,2,1,1,1
Laider,56,59,2,0,1,0,0,0,1,2,1,1
Laider,60,63,2,0,1,0,0,0,1,2,1,1
Laider,65,69,2,0,0,0,1,0,0,0,1,1
Laider,70,73,2,0,0,0,1,0,0,0,0,1
Laider,74,77,2,0,0,0,0,0,0,0,0,1
Moonlight,1,4,0,0,1,0,0,2,1,0,0,0
Moonlight,5,8,1,0,2,2,0,2,1,0,1,0
Moonlight,9,12,0,0,2,2,0,2,1,0,0,0
Moonlight,13,16,0,0,1,1,0,1,1,0,1,0
Moonlight,17,20,1,0,2,1,0,1,2,0,0,0
Moonlight,21,24,0,0,2,2,0,2,2,0,0,0
Moonlight,25,28,0,0,1,1,0,1,2,0,2,0
Moonlight,29,32,0,0,1,0,0,2,2,0,2,0
Moonlight,33,36,0,0,1,0,0,1,2,0,0,0
Moonlight,37,40,0,0,2,1,0,1,1,0,1,0
Moonlight,41,44,1,0,2,1,0,2,1,0,1,0
Moonlight,45,48,0,0,2,2,0,1,1,0,1,0
Moonlight,49,52,0,0,2,1,0,1,2,0,2,0
Moonlight,53,56,0,0,2,1,0,2,2,0,0,0
Moonlight,57,60,1,0,2,2,0,1,1,0,1,0
Moonlight,61,64,1,0,1,1,0,1,2,0,2,0
Moonlight,65,68,0,0,2,2,0,2,2,0,1,0
Clavier,1,4,1,0,1,1,0,2,0,0,0,0
Clavier,5,8,1,0,1,1,0,2,0,0,1,0
Clavier,9,12,1,0,1,1,0,1,0,0,0,0
Clavier,13,16,0,0,1,1,0,2,0,0,1,0
Clavier,17,20,0,0,1,1,0,1,0,0,0,0
Clavier,21,24,0,0,1,1,0,2,0,0,1,0
Clavier,25,28,1,0,1,1,0,1,0,0,0,0
Clavier,29,32,1,0,1,1,0,2,1,0,1,0
Mozart,1,4,0,0,0,1,0,1,1,0,0,0
Mozart,5,8,0,0,1,0,0,1,1,0,1,0
Mozart,9,12,0,0,0,1,0,1,1,2,1,0
Mozart,13,16,0,0,0,1,0,1,1,0,1,0
Mozart,25,28,0,0,1,0,0,1,2,0,0,0
Mozart,29,32,0,0,1,0,0,1,2,0,1,0
Mozart,33,36,0,0,0,0,0,1,2,0,1,0
Mozart,37,40,0,0,0,0,0,1,1,0,0,0
Mozart,41,44,0,0,0,1,0,1,1,0,1,0
Mozart,45,48,0,0,1,0,0,1,1,0,1,0
Mozart,49,52,0,0,1,0,0,1,1,0,1,0
Mozart,53,56,0,0,0,1,0,1,1,1,0,0
Mozart,57,60,0,0,0,1,0,1,1,1,0,0
Mozart,61,64,0,0,0,1,0,1,1,0,0,0
Mozart,65,68,0,0,2,1,0,1,1,0,1,0
Mozart,69,72,1,0,1,1,0,1,2,1,0,0
Waldstein,1,4,0,0,2,1,0,0,2,0,1,0
Waldstein,5,8,1,0,2,1,0,0,2,0,1,0
Waldstein,9,12,0,0,1,1,0,0,2,0,1,0
Waldstein,13,16,1,0,1,0,0,2,1,0,1,0
Waldstein,17,20,0,0,1,1,0,2,2,0,1,0
Waldstein,21,24,0,0,0,0,0,0,1,0,1,0
Waldstein,25,28,0,0,1,0,0,1,1,0,2,0
Waldstein,29,32,1,0,0,0,0,0,2,2,1,0
Waldstein,33,36,1,0,0,0,0,1,1,1,1,0
Waldstein,37,40,0,0,2,0,0,0,1,0,1,0
Waldstein,41,44,0,0,2,1,0,0,2,0,1,0
Waldstein,45,48,0,0,2,0,0,0,1,0,1,0
Waldstein,49,52,0,0,1,0,0,0,1,0,0,0
Waldstein,53,56,0,0,1,0,0,0,1,0,0,0
Waldstein,57,60,0,0,0,0,0,0,2,0,0,0
Waldstein,61,64,0,0,0,0,0,0,2,0,1,0
Waldstein,65,68,0,0,1,0,0,0,1,2,2,0
Waldstein,69,72,0,0,0,0,0,0,0,1,1,0
Waldstein,73,76,0,0,2,1,0,0,1,0,1,0
Waldstein,77,80,0,0,1,1,0,1,1,0,0,0
Waldstein,81,84,0,0,1,0,0,0,1,0,2,0
Waldstein,85,88,0,0,2,0,0,0,1,0,2,0
Waldstein,89,92,0,0,1,0,0,1,2,0,1,0
Waldstein,93,96,0,0,2,1,0,1,2,0,0,0
Waldstein,97,100,0,0,0,0,0,1,2,1,0,0
Waldstein,101,104,0,0,0,0,0,1,1,1,1,0
Waldstein,105,108,0,0,0,0,0,1,1,1,1,0
Waldstein,109,112,0,0,0,1,0,1,2,1,0,0
Waldstein,113,116,0,0,1,1,0,1,2,0,1,0
Waldstein,117,120,0,0,1,0,0,0,2,0,0,0
Waldstein,121,124,0,0,2,0,0,1,2,0,0,0
Waldstein,125,128,0,0,2,0,0,1,1,0,0,0
Waldstein,129,132,2,0,2,0,0,1,1,0,0,0
Waldstein,133,136,0,0,2,0,0,1,1,0,1,0
Waldstein,137,140,0,0,0,0,0,0,1,0,1,0
Hungarian,29,33,0,0,1,1,2,0,1,1,1,0
Hungarian,39,43,0,0,1,1,1,0,1,2,1,0
Hungarian,80,84,0,0,1,1,2,0,1,1,1,0
Hungarian,85,89,0,0,2,2,1,0,1,1,0,0
Hungarian,91,95,0,0,1,0,1,1,1,2,0,0
Hungarian,95,99,0,0,2,1,1,0,2,1,2,0
Invention,13,16,0,2,0,0,0,0,0,1,1,0
Invention,38,41,0,1,0,1,0,0,1,1,1,0
Invention,49,52,0,1,0,1,0,0,1,0,0,0
Bach_Chorale,1,4,0,1,1,1,0,1,1,0,1,0
Bach_Chorale,5,8,0,2,1,0,0,1,1,1,0,0
Bach_Chorale,9,12,0,1,0,1,0,2,1,0,2,0
Mozart,17,20,0,1,0,1,0,1,2,0,1,0
Mozart,21,24,0,2,1,1,0,1,1,1,1,0
